
327804.44505, 3,  -0.765,  2.880, 10.236, 4,   0.059,  1.535,  0.409, 5,   2.523, -1.497, 21.456 ,  0.010000000009313226
  
327804.45500, 3,  -0.943,  2.789,  9.459, 4,   0.091,  1.718,  0.315, 5,   1.952, -2.019, 21.534 ,  0.009950000036042184
  
327804.46502, 3,  -1.115,  2.591,  8.582, 4,  -0.019,  1.856,  0.197, 5,   1.952, -2.019, 21.534 ,  0.01001999998698011
  
327804.47503, 3,  -1.214,  2.191,  8.145, 4,  -0.232,  1.857,  0.078, 5,   1.727, -2.356, 21.632 ,  0.010009999969042838
  
327804.48499, 3,  -1.153,  1.494,  7.884, 4,  -0.476,  1.734,  0.078, 5,   1.727, -2.356, 21.632 ,  0.009960000053979456
  
327804.49611, 3,  -1.141,  0.910,  7.648, 4,  -0.652,  1.577, -0.001, 5,   1.303, -2.575, 21.624 ,  0.011119999981019646
  
327804.50534, 3,  -1.059,  0.384,  7.465, 4,  -0.721,  1.403,  0.124, 5,   1.303, -2.575, 21.624 ,  0.009229999966919422
  
327804.52356, 3,  -0.891, -0.020,  7.399, 4,  -0.701,  1.187,  0.316, 5,   1.270, -2.991, 21.796 ,  0.018220000027213246
  
327804.53504, 3,  -0.534, -0.102,  7.803, 4,  -0.445,  0.610,  0.903, 5,   0.785, -3.548, 21.220 ,  0.011479999986477196
  
327804.54523, 3,  -0.315,  0.178,  7.912, 4,  -0.287,  0.384,  1.222, 5,   0.785, -3.548, 21.220 ,  0.010190000000875443
  
